Timestamp, WaveRefID, EnemyDefeatCount, ItemFound
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
4,hello, dear, my
5,hello, dear, my
6,hello, dear, my
7,hello, dear, my
8,hello, dear, my
9,hello, dear, my
0,hello, dear, my
1,hello, dear, my
2,hello, dear, my
3,hello, dear, my
